Type,Name,Statement,Where,Date,Link
214,true,Steve McCraw,"Since 2014, there has been a 25% reduction in crime in communities at the Texas-Mexico border.",legislative hearing,"July 12, 2019",https://www.politifact.com/factchecks/2019/jul/25/steve-mccraw/how-much-has-crime-gone-down-texas-mexico-border/
215,true,Facebook posts,"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",Facebook post,"July 21, 2019",https://www.politifact.com/factchecks/2019/jul/24/facebook-posts/facebook-post-compares-votes-rand-paul-ilhan-omar-/
216,true,Bloggers,"""Triggering leftists, Trump's reelection campaign is selling plastic straws.""",story,"July 20, 2019",https://www.politifact.com/factchecks/2019/jul/23/blog-posting/yes-trump-campaign-selling-plastic-trump-straws/
217,true,Donald Trump,"""Food Stamp participation hits 10 year low.""",Twitter,"July 9, 2019",https://www.politifact.com/factchecks/2019/jul/16/donald-trump/president-trump-correct-about-food-stamp-low/
218,true,Cory Booker,"""In 2017, we had more marijuana possession arrests in our country than all other violent crimes combined.""",interview,"July 5, 2019",https://www.politifact.com/factchecks/2019/jul/11/cory-booker/more-arrests-us-marijuana-possession-violent-crime/
219,true,Bernie Sanders,"""The wealthiest three families now own more wealth than the bottom half of the country.""",opinion article,"June 26, 2019",https://www.politifact.com/factchecks/2019/jul/03/bernie-sanders/bernie-sanders-target-saying-3-richest-have-much-w/
220,true,Ta-Nehisi Coates,"""The typical black family in this country has one-tenth the wealth of the typical white family.""",congressional testimony,"June 19, 2019",https://www.politifact.com/factchecks/2019/jul/01/ta-nehisi-coates/seeking-reparations-ta-nehisi-coates-says-typical-/
221,true,Scott Walker,"""Wisconsin is a Top 10 state for health care coverage.""",tweet,"May 30, 2019",https://www.politifact.com/factchecks/2019/jun/25/scott-walker/wisconsin-top-10-state-health-care-coverage/
222,true,Beto O'Rourke,"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.""",interview with Stephen Colbert,"June 13, 2019",https://www.politifact.com/factchecks/2019/jun/24/beto-orourke/beto-orourke-target-about-scale-democratic-surge-t/
223,true,Mark Pocan,"""The United States is the ONLY industrialized country without universal healthcare.""",tweet,"April 30, 2019",https://www.politifact.com/factchecks/2019/jun/21/mark-pocan/universal-health-care-diagnosis-mark/
224,true,Ron Johnson,"""Just the last three weeks, on average about 23,000 women, children, men are coming over across the border illegally as family units or as unaccompanied children.""",TV interview,"May 26, 2019",https://www.politifact.com/factchecks/2019/jun/18/ron-johnson/sen-johnson-ballpark-southern-border-crossing-clai/
225,true,Ray Cross,"""Most research shows that (UW salaries) are a little behind, and (in) some areas we're behind more than others.""",TV interview,"May 26, 2019",https://www.politifact.com/factchecks/2019/jun/14/ray-cross/uw-system-president-hits-pay-dirt-university-pay-g/
226,true,Seth Moulton,"""The VA negotiates prescription drug prices. Medicare doesn't do that.""",CNN town hall,"June 2, 2019",https://www.politifact.com/factchecks/2019/jun/07/seth-moulton/seth-moulton-correct-prescription-drug-prices-can-/
227,true,Tulsi Gabbard,"Says immigrant military service members applying for U.S. citizenship ""are getting rejected at higher numbers than those who are not veterans.""",veterans event,"June 1, 2019",https://www.politifact.com/factchecks/2019/jun/07/tulsi-gabbard/tulsi-gabbard-right-citizenship-denials-are-higher/
228,true,Chris Taylor,"""We saw the prison population expand and vacancy rates for correctional officers go from 2.9% to 15.2%"" over the last eight years.",tweet,"May 21, 2019",https://www.politifact.com/factchecks/2019/jun/04/chris-taylor/wisconsin-state-rep-chris-taylor-mark-prison-claim/
229,true,John Hickenlooper,"""We beat the NRA with tough, tough gun laws"" in Colorado.",interview,"May 19, 2019",https://www.politifact.com/factchecks/2019/may/30/john-hickenlooper/fact-checking-presidential-hopeful-john-hickenloop/
230,true,Justin Amash,"""In fact, ‘high Crimes and Misdemeanors’ is not defined in the Constitution and does not require corresponding statutory charges. The context implies conduct that violates the public trust—and that view is echoed by the Framers of the Constitution and early American scholars.""",tweet,"May 20, 2019",https://www.politifact.com/factchecks/2019/may/29/justin-amash/what-counts-high-crime-or-misdemeanor-impeachment-/
231,true,Kirsten Gillibrand,"""I actually in 2005 ran on Medicare for all.""",campaign stop,"May 10, 2019",https://www.politifact.com/factchecks/2019/may/22/kirsten-gillibrand/gillibrand-points-early-support-medicare-all/
232,true,Amy Klobuchar,"""We’ve had a 30% increase in suicides in this country in just 15 years.""",Fox News town hall,"May 8, 2019",https://www.politifact.com/factchecks/2019/may/20/amy-klobuchar/yes-us-suicides-have-risen-30-past-decade-and-half/
233,true,Tracy McCreery,"""Suicide is the second-leading cause of death among 15-19 year olds and 25-34 year olds in Missouri.""",legislative debate,"April 8, 2019",https://www.politifact.com/factchecks/2019/may/15/tracy-mccreery/suicide-second-leading-cause-death-among-missouri-/
234,true,Brandon Creighton,"""Texas actually leads in the number of (Confederate) monuments removed.""",Texas Senate,"May 7, 2019",https://www.politifact.com/factchecks/2019/may/10/brandon-creighton/its-true-texas-has-removed-more-confederate-monume/
235,true,Patricia Pike,"""Over 30 states passed the legislation to ban powdered alcohol,"" and Missouri is not one of them",legislative debate,"April 11, 2019",https://www.politifact.com/factchecks/2019/may/10/patricia-pike/yes-missouri-minority-states-without-ban-powdered-/
236,true,Joe Biden,"""I’m one of the first guys to introduce a climate change bill, way, way back in ‘87.""",stump speech,"May 1, 2019",https://www.politifact.com/factchecks/2019/may/08/joe-biden/was-joe-biden-climate-change-pioneer-congress-hist/
237,true,Ron Johnson,"""99.4% of businesses in Wisconsin are small businesses,"" and they employ ""nearly half of our workforce.""",tweet,"May 6, 2019",https://www.politifact.com/factchecks/2019/may/07/ron-johnson/yes-small-businesses-account-99-all-wisconsin-comp/
238,true,Bernie Sanders,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",CNN town hall,"April 22, 2019",https://www.politifact.com/factchecks/2019/may/02/bernie-sanders/yes-millions-families-spend-bulk-income-housing/
239,true,Donald Trump,"""The unemployment rate for Wisconsin workers has reached historic lows. It’s never been this low before, ever, ever, ever.""",rally,"April 27, 2019",https://www.politifact.com/factchecks/2019/may/02/donald-trump/trump-hits-paydirt-claim-wisconsins-low-unemployme/
240,true,Elizabeth Warren,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",CNN town hall,"April 22, 2019",https://www.politifact.com/factchecks/2019/apr/30/elizabeth-warren/elizabeth-warren-says-she-warned-about-financial-c/
241,true,Letitia James,"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""",news conference,"April 23, 2019",https://www.politifact.com/factchecks/2019/apr/30/letitia-james/ny-ag-emphasizes-key-fact-citizenship-question-cas/
242,true,Maxine Lipeles,"""All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.""",newspaper article,"February 24, 2019",https://www.politifact.com/factchecks/2019/apr/26/maxine-lipeles/are-all-missouri-coal-ash-ponds-really-causing-gro/
243,true,Bennett Sandlin,"Says 74% of people in Texas are ""crammed into 4% of the land.""",news conference,"April 22, 2019",https://www.politifact.com/factchecks/2019/apr/26/bennett-sandlin/its-true-74-percent-texans-live-4-percent-states-l/
244,true,Amy Klobuchar,"""Big pharmaceuticals pay off — they literally pay off — generics to keep the prices and the competition off the market.""",CNN town hall event for Democratic presidential candidates,"April 22, 2019",https://www.politifact.com/factchecks/2019/apr/25/amy-klobuchar/klobuchar-wants-stop-drugmakers-bad-practice-keeps/
245,true,Stony Rushing,"Says ""5 out of 10"" GOP candidates don’t live in North Carolina’s 9th Congressional District.",Facebook post,"April 9, 2019",https://www.politifact.com/factchecks/2019/apr/25/stony-rushing/rushing-right-half-nc9-republicans-dont-live-distr/
246,true,Bernie Sanders,"""In my own state of Vermont, from the very first days of our state's history, what our Constitution says is that everybody can vote. That is true. So people in jail can vote.""",CNN town hall,"April 22, 2019",https://www.politifact.com/factchecks/2019/apr/24/bernie-sanders/sanders-set-firestorm-over-prisoners-voting-his-fa/
247,true,Joe Manchin,"""I was the only member of the Senate – Republican or Democrat – who has consistently voted against efforts to use the so called ‘nuclear option’ to change the rules of the Senate.""",tweet,"April 5, 2019",https://www.politifact.com/factchecks/2019/apr/24/joe-manchin/joe-manchin-only-senator-consistently-vote-against/
248,true,West Virginia Republican Party,"""West Virginia’s exports increased for the second year in a row in 2018, reaching $8.1 billion. Additionally, West Virginia’s export growth rate was 14.2%, nearly double the national average of 7.6%.""",tweet,"April 2, 2019",https://www.politifact.com/factchecks/2019/apr/24/west-virginia-republican-party/have-exports-west-virginia-risen-faster-us-whole/
249,true,E. Gordon Gee,"""Our state has fewer science, technology, engineering and math graduates than any neighboring state.""",speech,"March 19, 2019",https://www.politifact.com/factchecks/2019/apr/24/e-gordon-gee/does-west-virginia-trail-its-neighbors-stem-gradua/
250,true,Dan Patrick,"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""",press conference,"April 16, 2019",https://www.politifact.com/factchecks/2019/apr/23/dan-patrick/dan-patrick-migrant-deaths-remains-fact-check/
251,true,Mac Heller,"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",interview,"April 7, 2019",https://www.politifact.com/factchecks/2019/apr/23/mac-heller/minority-electorate-surpassed-25-percent-when-obam/
252,true,Allen Thomas,"""Currently, 23 percent of our military's infrastructure is graded as 'poor' while 9 percent is 'failing.'""",candidate questionnaire,"April 9, 2019",https://www.politifact.com/factchecks/2019/apr/23/allen-thomas/democratic-congressional-candidate-right-about-poo/
253,true,Donald Trump,"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",tweet,"April 12, 2019",https://www.politifact.com/factchecks/2019/apr/20/donald-trump/trump-calls-out-ny-dems-vote-expansion-military-be/
254,true,Donna Howard,"""There have been zero reported instances of any child born alive after an abortion in Texas.""",Texas House,"April 16, 2019",https://www.politifact.com/factchecks/2019/apr/18/donna-howard/no-infant-has-been-reported-born-alive-after-abort/
255,true,West Virginia Democratic Party,"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""",tweet,"April 1, 2019",https://www.politifact.com/factchecks/2019/apr/17/west-virginia-democratic-party/has-affordable-care-act-given-200000-plus-west-vir/
256,true,Shelia Stubbs,"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""",public forum,"March 12, 2019",https://www.politifact.com/factchecks/2019/apr/16/shelia-stubbs/state-rep-stubbs-hits-target-claim-wisconsins-blac/
257,true,Dan Patrick,"""Like every budget passed by the Senate since I have been lieutenant governor, Senate Bill 1 is within the spending limit set by the Texas Constitution.""",,"April 9, 2019:",https://www.politifact.com/factchecks/2019/apr/16/dan-patrick/texas-constitution-requires-lawmakers-stay-under-s/
258,true,John Torbett,"Says all North Carolina teachers do not currently get a ""duty free lunch break.""",tweet,"April 3, 2019",https://www.politifact.com/factchecks/2019/apr/16/john-torbett/do-north-carolinas-teachers-get-work-free-lunch-br/
259,true,Clif Smart,"""Missouri ranks 45th in the nation in per capita state fiscal support for higher education and Missouri State is last among Missouri schools.""",tweet,"February 14, 2019",https://www.politifact.com/factchecks/2019/apr/10/clif-smart/missouri-ranks-toward-bottom-higher-education-fund/
260,true,Daniel Riemer,"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",TV interview,"February 17, 2019",https://www.politifact.com/factchecks/2019/apr/04/daniel-riemer/state-rep-riemer-right-money-tax-credit-claim/
261,true,John Bucy III,"""Right now, 1 in 4 Texas women of reproductive age are uninsured, totaling 1.5 million Texas women.""",Texas House,"March 27, 2019",https://www.politifact.com/factchecks/2019/mar/29/john-bucy-iii/about-1-4-texas-women-reproductive-age-dont-have-h/
262,true,Kirsten Gillibrand,"For Cabinet posts, ""I have the best voting record against Trump nominees of anyone else running for president""",town hall,"March 18, 2019",https://www.politifact.com/factchecks/2019/mar/29/kirsten-gillibrand/gillibrand-claims-most-votes-against-trump-cabinet/
263,true,Quentin Miller,"Says an ICE detainer request ""is not a valid warrant.""",speech,"February 26, 2019",https://www.politifact.com/factchecks/2019/mar/28/quentin-miller/nc-sheriff-right-ice-detainers-are-not-valid-warra/
264,true,Tammy Baldwin,"29 states still don’t have ""comprehensive protections"" for people in the LGBTQ community.",podcast,"March 12, 2019",https://www.politifact.com/factchecks/2019/mar/28/tammy-baldwin/baldwin-hits-target-claim-about-states-and-compreh/
265,true,Tommie Pierson Jr.,"Says ""zero"" African Americans have presented to the House Budget Committee in 2019.",Missouri Legislative Black Caucus press conference,"February 18, 2019",https://www.politifact.com/factchecks/2019/mar/26/tommie-pierson-jr/missouri-legislator-highlights-lack-african-americ/
266,true,Mike Parson,"""We are always going to need architects, doctors, we’re going to need professionals with four-year degrees. But 65 to 70 percent of the people in Missouri don’t have degrees.""",interview,"January 24, 2019",https://www.politifact.com/factchecks/2019/mar/22/mike-parson/do-65-75-missourians-not-have-college-degrees/
267,true,John Nygren,"""Over the last eight years, we’ve shown that even though we’ve cut taxes by $8 billion, revenues continue to grow.""",tweet,"February 12, 2019",https://www.politifact.com/factchecks/2019/mar/21/john-nygren/john-nygren-says-wisconsin-republicans-have-cut-ta/
268,true,Gavin Newsom,"California has ""the largest death row in the Western Hemisphere, the largest death row in the United States of America — two times the size of the next largest state: Florida.""",news conference,"March 13, 2019",https://www.politifact.com/factchecks/2019/mar/13/gavin-newsom/somber-statistic-still-true-california-has-largest/
269,true,Elizabeth Warren,"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""",press release,"March 12, 2019",https://www.politifact.com/factchecks/2019/mar/12/elizabeth-warren/warren-faa-leans-boeing-fix-737-max-8-software/
270,true,Phil Berger,"""Since 2011, the gap in high school graduation rates between African-American students and all students has been cut in half, from 6.4 percent to 3.1 percent.""",speech,"February 25, 2019",https://www.politifact.com/factchecks/2019/mar/07/phil-berger/berger-correct-high-school-graduation-rates-africa/
271,true,Mike Parson,"""We maintain this (Missouri highway) system with one of the lowest levels of funding in the country.""",hstate of state speech,"January 16, 2019",https://www.politifact.com/factchecks/2019/mar/07/mike-parson/parson-correct-missouri-maintains-lowest-levels-hi/
272,true,Chris Jones,"Virginia House ""Republicans have had more African-Americans on key committees than when the Democrats were in control.""",floor speech,"February 23, 2019",https://www.politifact.com/factchecks/2019/mar/05/chris-jones/gop-has-put-more-blacks-key-va-house-committees-di/
273,true,E. Gordon Gee,"West Virginia has ""the nation’s lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""",oped,"January 14, 2019",https://www.politifact.com/factchecks/2019/feb/27/e-gordon-gee/does-west-virginia-have-nations-lowest-workforce-p/
274,true,Gavin Newsom,"""More than a million Californians"" do not have ""clean water to bathe in or drink.""",State of State Address,"February 12, 2019",https://www.politifact.com/factchecks/2019/feb/14/gavin-newsom/true-more-million-californians-dont-have-clean-dri/
275,true,Bobby Scott,"""Today’s minimum wage worker making $7.25 an hour has less buying power than a minimum wage worker in the 1960s.""",speech,"February 7, 2019",https://www.politifact.com/factchecks/2019/feb/13/bobby-scott/bobby-scott-right-about-falling-value-minimum-wage/
276,true,Pete Buttigieg,"""I have more military experience than anybody who’s arrived behind that desk since George H.W. Bush.""",interview,"January 31, 2019",https://www.politifact.com/factchecks/2019/feb/12/pete-buttigieg/would-white-house-hopeful-pete-buttigieg-have-more/
277,true,Ralph Northam,"On extreme-risk guns laws, ""This idea has passed Republican legislatures in other states and has been signed by Republican governors.""",speech,"January 9, 2019",https://www.politifact.com/factchecks/2019/jan/23/ralph-northam/ralph-northam-right-gop-governors-and-legislatures/
278,true,Roy Cooper,"A bill passed by GOP legislators ""makes it harder to prosecute people and groups that violate campaign finance laws.""",Facebook post,"December 26, 2018",https://www.politifact.com/factchecks/2019/jan/14/roy-cooper/new-nc-law-makes-small-significant-changes-campaig/
279,true,Nita Lowey,"""The facts are, the majority of opioids and all kinds of other things that are connected to the opioids are coming through the point of entry.""",radio interview,"January 7, 2019",https://www.politifact.com/factchecks/2019/jan/14/nita-lowey/majority-opioids-come-us-through-points-entry-lowe/
280,true,Andrew Cuomo,"New York has passed ""the best paid family leave"" program in the United States of America.",speech,"December 17, 2018",https://www.politifact.com/factchecks/2019/jan/07/andrew-cuomo/cuomo-new-yorks-paid-family-leave-best/
281,true,Roy Blunt,"The National Defense Authorization Act for fiscal year 2019 ""includes the largest pay raise in nearly 10 years.""",tweet,"December 1, 2018",https://www.politifact.com/factchecks/2018/dec/13/roy-blunt/roy-blunt-right-military-pay-increase-largest-year/
282,true,Mike Romano,"""Adjusting for inflation, West Virginia’s median household income has not grown in a decade.""",oped,"December 8, 2018",https://www.politifact.com/factchecks/2018/dec/12/mike-romano/have-median-incomes-west-virginia-not-risen-decade/
283,true,Mike Romano,"The poverty rate in West Virginia ""was 19.1 percent, the fourth-highest in the country.""",oped,"November 8, 2018",https://www.politifact.com/factchecks/2018/dec/10/mike-romano/does-west-virginia-have-nations-fourth-worst-pover/
284,true,Andrew Cuomo,"""There is nothing that we have done on Amazon that we have not done with hundreds of other projects.""",radio interview,"November 19, 2018",https://www.politifact.com/factchecks/2018/dec/07/andrew-cuomo/cuomo-said-treatment-amazon-no-different/
285,true,Mike Romano,"""In 2017, West Virginia’s $43,469 median household income was $16,867 below the national average, ranking 50th.""",oped,"November 8, 2018",https://www.politifact.com/factchecks/2018/dec/07/mike-romano/did-west-virginia-rank-50th-household-income-2017-/
286,true,Bloggers,"Says Ann Coulter said, ""I am a settler. I am descended from settlers — not from immigrants.""",Facebook post,"December 3, 2018",https://www.politifact.com/factchecks/2018/dec/06/blog-posting/yes-ann-coulter-said-she-descended-settlers-not-im/
287,true,Richard Ojeda,"At General Motors, CEO Mary Barra ""took home almost 22 MILLION DOLLARS last year alone (295x your company's average employee).""",tweet,"November 27, 2018",https://www.politifact.com/factchecks/2018/dec/06/richard-ojeda/does-ceo-mary-barra-earn-295-times-average-gm-work/
288,true,David McKinley,"The United States ""spends more on potato chips than we do on ALL energy R&D.""",tweet,"November 15, 2018",https://www.politifact.com/factchecks/2018/dec/06/david-mckinley/does-us-spend-more-potato-chips-energy-research/
289,true,Crystal Quade,"Missouri ""had the largest amount of millennial Democrats running than any other state in the country.""",interview,"December 8, 2018",https://www.politifact.com/factchecks/2018/dec/06/crystal-quade/missouri-statehouse-had-more-democratic-millennial/
290,true,Jason Smith,"""In fact 7 out of 10 new jobs in America are created by small businesses.""",tweet,"November 9, 2018",https://www.politifact.com/factchecks/2018/nov/19/jason-smith/rep-jason-smith-not-far-small-business-job-creatio/
291,true,West Virginia Republican Party,"""Middle-class income rose to a record level in 2017 as the strong economy lifted the fortunes of more Americans.""",tweet,"September 29, 2018",https://www.politifact.com/factchecks/2018/nov/15/west-virginia-republican-party/did-median-incomes-hit-record-level-2017/
292,true,Richard Ojeda,"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War.""",video posted to Facebook,"October 24, 2018",https://www.politifact.com/factchecks/2018/nov/15/richard-ojeda/have-more-died-opioids-two-years-vietnam-war/
293,true,Patrick Morrisey,"Says Joe Manchin ""refused to commit to Kavanaugh until AFTER the Senate had the votes.""",tweet,"October 6, 2018",https://www.politifact.com/factchecks/2018/nov/15/patrick-morrisey/how-late-did-joe-manchin-decide-kavanaugh-vote/
294,true,Bloggers,Trump supporters are heading to the border as the migrant caravan approaches.,post,"November 5, 2018",https://www.politifact.com/factchecks/2018/nov/08/blog-posting/yes-armed-us-civilians-are-headed-border/
295,true,Nate McMurray,"""Do you know that New York State pays out way more than they ever get back?""",debate,"October 30, 2018",https://www.politifact.com/factchecks/2018/nov/02/nathan-mcmurray/new-york-giver-state-federal-treasury/
296,true,West Virginia Republican Party,"""West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with double-digit growth!""",tweet,"September 14, 2018",https://www.politifact.com/factchecks/2018/nov/02/west-virginia-republican-party/did-west-virginia-lead-way-construction-job-growth/
297,true,Donald Trump,"""Household income among Hispanic Americans has just set a new record high.""",rally,"September 29, 2018",https://www.politifact.com/factchecks/2018/nov/01/donald-trump/hispanic-household-income-record-high-donald-trump/
298,true,Joe Manchin,"West Virginia ""has the highest overdose rate per capita of any state in our nation.""",tweet,"October 3, 2018",https://www.politifact.com/factchecks/2018/nov/01/joe-manchin/does-west-virginia-have-more-overdoses-any-state/
299,true,Jon Tester,"""Matt Rosendale supports plans that don’t have to cover (pre-existing conditions).""",ad,"October 10, 2018",https://www.politifact.com/factchecks/2018/oct/31/jon-tester/montanas-matt-rosendale-supports-plans-dont-cover-/
300,true,Marc Molinaro,"On spending growth under Gov. Andrew Cuomo: ""Despite the fact that you continue to suggest that you’ve been able to hold the two percent, you haven’t.""",debate between candidates for governor,"October 23, 2018",https://www.politifact.com/factchecks/2018/oct/26/marcus-molinaro/molinaro-says-cuomos-spending-not-good-he-claims/
301,true,Claire McCaskill,"""My opponent is endorsed by Citizens United.""",QA at TrumState University,"September 10, 2018",https://www.politifact.com/factchecks/2018/oct/25/claire-mccaskill/mccaskill-correct-hawley-endorsed-citizens-united-/
302,true,Jim Justice,"""Thousands of folks are opening West Virginia E-ZPass accounts.""",tweet,"August 27, 2018",https://www.politifact.com/factchecks/2018/oct/24/jim-justice/are-thousands-west-virginians-signing-e-zpass/
303,true,Joe Manchin,"""Black lung cases are at a 25-year high.""",news release,"August 23, 2018",https://www.politifact.com/factchecks/2018/oct/23/joe-manchin/are-black-lung-cases-25-year-high/
304,true,Donald Trump,"""The poverty rates for African Americans and Hispanic Americans -- it’s been incredible, they’ve all reached their lowest levels in the history of our country.""",rally,"September 29, 2018",https://www.politifact.com/factchecks/2018/oct/23/donald-trump/african-american-hispanic-poverty-all-time-low/
305,true,VoteVets.org,"Says Rick Scott’s ""hospital company stole millions, defrauding the military’s health care program.""",ad,"October 12, 2018",https://www.politifact.com/factchecks/2018/oct/23/votevetsorg/rick-scotts-companys-fraud-focus-attack-veterans-g/
306,true,Dan McCready,"""Mark Harris has said he would abolish the Department of Education.""",debate,"October 17, 2018",https://www.politifact.com/factchecks/2018/oct/22/dan-mccready/does-gop-candidate-actually-want-abolish-departmen/
307,true,Andrew Cuomo,"""He even supports putting a female inmate in shackles during childbirth.""",campaign advertisement,"October 16, 2018",https://www.politifact.com/factchecks/2018/oct/19/andrew-cuomo/cuomo-attacks-molinaro-record-womens-issues/
308,true,Beto O'Rourke,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.",debate televised from SAntonio,"October 16, 2018",https://www.politifact.com/factchecks/2018/oct/18/beto-orourke/beto-orourke-says-ted-cruz-has-second-worst-bipart/
309,true,Democratic Party of Wisconsin,"""Leah Vukmir OPPOSES Buy American legislation.""",mailer ,"September 10, 2018",https://www.politifact.com/factchecks/2018/oct/17/state-democratic-party-wisconsin/democratic-party-delivers-trade-dig-against-vukmir/
310,true,David McKinley,"In West Virginia, ""personal income tax collections (were) up 14% from 2017.""",tweet,"August 14, 2018",https://www.politifact.com/factchecks/2018/oct/11/david-mckinley/david-mckinley-correct-about-rise-wva-tax-receipts/
311,true,Ann Wagner,"""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'""",tweet,"August 27, 2018",https://www.politifact.com/factchecks/2018/oct/05/ann-wagner/walmart-raised-wages-gave-bonuses-ann-wagner-claim/
312,true,Ted Budd,Most of Kathy Manning’s donors are from out-of-state.,,"August 30, 2018:",https://www.politifact.com/factchecks/2018/sep/26/ted-budd/budd-claims-most-mannings-donors-arent-north-carol/
313,true,Tim Kaine,"""The national economy was strong in its largest expansion of private sector jobs before President Trump came into office.""",debate,"July 21, 2018",https://www.politifact.com/factchecks/2018/sep/25/tim-kaine/ne-right-record-jobs-growth-streak-precedes-trump/
314,true,Andrew Cuomo,"""I think I received more votes in the Democratic primary than any governor in history.""",news conference,"September 14, 2018",https://www.politifact.com/factchecks/2018/sep/20/andrew-cuomo/cuomo-says-he-got-more-votes-democratic-primary/
315,true,Gavin Newsom,"""Close to half of the children"" in California are ""at or near poverty,"" when you consider cost-of-living.",campaign speech,"September 10, 2018",https://www.politifact.com/factchecks/2018/sep/19/gavin-newsom/true-nearly-half-californias-children-are-or-near-/
316,true,Bloggers,"Says Sean Hannity told listeners of his radio show that ""Beto O’Rourke is asking for help in getting undocumented to vote.""",blog post,"September 7, 2018",https://www.politifact.com/factchecks/2018/sep/14/blog-posting/hannity-orourke-asked-help-getting-undocumented-im/
317,true,Claire McCaskill,"Says a Josh Hawley lawsuit ""would take away important prescription drug coverage for seniors through Medicare and end all of the consumer protections under the ACA.""",oped for Springfield NewsLeader,"August 23, 2018",https://www.politifact.com/factchecks/2018/sep/13/claire-mccaskill/mccaskills-right-hawleys-lawsuit-would-end-afforda/
318,true,Jeff Merkley,Says the Trump administration transferred $10 million from FEMA to ICE.,MSNBC interview,"September 11, 2018",https://www.politifact.com/factchecks/2018/sep/13/jeff-merkley/yes-10-million-were-transferred-fema-ice/
319,true,Greg Abbott,"Says Texas ""high school graduation rates are at all-time highs.""",TV ad,"August 30, 2018",https://www.politifact.com/factchecks/2018/sep/07/greg-abbott/greg-abbott-says-texas-enjoying-record-high-school/
320,true,West Virginia Republican Party,"""For only the second time since 2000, there are more job openings than Americans who are unemployed.""",tweet,"August 10, 2018",https://www.politifact.com/factchecks/2018/aug/31/west-virginia-republican-party/wva-gop-right-about-job-openings-unemployed-worker/
321,true,Joe Manchin,"""This year West Virginia produced more AmeriCorps members than any other state.""",tweet,"August 8, 2018",https://www.politifact.com/factchecks/2018/aug/31/joe-manchin/does-west-virginia-produce-most-americorps-members/
322,true,Nate McMurray,"Says he’s a ""small-town supervisor who has kept a balanced budget, who has increased surpluses, who has led us to the highest credit rating our town has ever had.""",news conference at UAW 897 hall,"August 8, 2018",https://www.politifact.com/factchecks/2018/aug/29/nathan-mcmurray/mcmurray-claims-about-grand-island-record-are-true/
323,true,Tammy Duckworth,"""If you are a gun store owner and you decide to go out of business … you right now are allowed to convert your entire gun store inventory to ‘personal use’ and once it is a personal use weapon, you can sell it without background checks.""",remarks during press conference,"August 7, 2018",https://www.politifact.com/factchecks/2018/aug/26/tammy-duckworth/duckworks-background-check-claim-checks-out/
324,true,West Virginia Republican Party,"""The American economy is continuing its longest monthly streak of job growth in history, with 3.9 million jobs added since President Trump was elected.""",tweet,"August 8, 2018",https://www.politifact.com/factchecks/2018/aug/23/west-virginia-republican-party/west-virginia-gop-tweet-correct-about-job-growth/
325,true,Silvestre Reyes,"Says Beto O’Rourke ""has a criminal record that includes DWI and burglary arrests.""",TV ad,"May 22, 2012",https://www.politifact.com/factchecks/2018/aug/22/silvestre-reyes/beto-orourke-arrested-1990s-burglary-and-dwi/
326,true,Civitas Institute,"""Apple and Amazon already operate in many states that require levels of voter ID.""",tweet,"June 25, 2018",https://www.politifact.com/factchecks/2018/aug/22/civitas-institute/do-amazon-apple-operate-states-voter-id/
327,true,Beto O'Rourke,"""I don’t take a dime of PAC money.""",interview,"March 6, 2018",https://www.politifact.com/factchecks/2018/aug/20/beto-orourke/beto-orourke-says-he-doesnt-accept-pac-donations/
328,true,Club for Growth,"Says Leah Vukmir ""claimed the open records law didn't apply to her, got sued, lost and cost taxpayers $15,000 in legal fees.""",campaign ad,"July 12, 2018",https://www.politifact.com/factchecks/2018/aug/14/club-growth/did-leah-vukmir-cost-taxpayers-15000-legal-fees-af/
329,true,Jeff Sessions,"""One out of every 30 people in the Greater Boston area is an illegal alien.""",speech,"July 26, 2018",https://www.politifact.com/factchecks/2018/jul/31/jeff-sessions/jeff-sessions-says-1-out-30-greater-boston-country/
